AXL,10/3/2011,23:18:20,7.01,7.75,2866543,2590490,-8.13,
AXMT,10/3/2011,23:18:20,48.406,48.406,360,398,-5.71,
AXN,10/3/2011,23:18:20,0.2218,0.36,51083,24494,-25.00,
AXP,10/3/2011,23:18:20,43.47,45.48,9185457,8735050,-3.16,
AXR,9/30/2011,23:18:20,N/A,N/A,0,3317,0.00,
AXS,10/3/2011,23:18:20,25.31,26.29,1334650,1033660,-2.39,
AXSL,9/30/2011,23:18:20,N/A,N/A,0,341,0.00,
AXTE,9/30/2011,23:18:20,N/A,N/A,0,613,0.00,
AXU,10/3/2011,23:18:20,6.38,7.03,581020,498227,-5.31,
AXUT,9/27/2011,23:18:20,N/A,N/A,0,1041,0.00,
AYE,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
AYI,10/3/2011,23:18:20,33.95,35.5692,870601,516830,-5.74,
AYN,10/3/2011,23:18:20,13.95,14.08,9122,6514,-0.29,
AYR,10/3/2011,23:18:20,8.82,9.47,1429550,742741,-7.25,
AYT,10/3/2011,23:18:20,47.25,47.60,1430,7181,+0.25,
AZC,10/3/2011,23:18:20,2.70,3.11,383737,285411,-11.07,
AZK,10/3/2011,23:18:20,4.97,5.3646,764361,824505,-1.38,
AZN,10/3/2011,23:18:20,43.83,44.65,2104191,1946090,-1.13,
AZO,10/3/2011,23:18:20,311.87,322.0188,428695,423562,-2.29,
AZP,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
AZZ,10/3/2011,23:18:20,37.725,40.43,122763,105914,-2.55,
B,10/3/2011,23:18:20,18.07,19.52,352232,431172,-6.08,
BA,10/3/2011,23:18:20,57.85,61.53,8291484,6730160,-3.73,
BAA,10/3/2011,23:18:20,3.71,4.05,202227,336706,-5.84,
BAA.W,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BAB,10/3/2011,23:18:20,28.78,29.42,942073,261794,+1.46,
BABS,10/3/2011,23:18:20,57.41,58.33,9730,13389,+1.89,
BABZ,10/3/2011,23:18:20,55.86,56.39,2431,8056,+1.42,
BAC,10/3/2011,23:18:20,5.52,6.18,369335072,277628992,-9.64,
BAF,10/3/2011,23:18:20,14.38,14.51,10643,14144,-0.35,
BAK,10/3/2011,23:18:20,15.22,16.1171,1179876,548678,-1.22,
BAL,10/3/2011,23:18:20,60.92,62.0488,111207,97002,-0.39,
BALT,10/3/2011,23:18:20,4.25,4.80,116740,193291,-8.60,
BAM,10/3/2011,23:18:20,26.35,27.63,2138229,1248370,-4.28,
BAP,10/3/2011,23:18:20,89.09,92.10,541053,432178,-2.27,
BAS,10/3/2011,23:18:20,13.06,14.27,2037500,1417180,-7.20,
BAX,10/3/2011,23:18:20,53.57,56.43,5843126,4342190,-4.38,
BBD,10/3/2011,23:18:20,14.39,14.96,14556221,12409300,-2.57,
BBF,10/3/2011,23:18:20,13.863,13.95,9179,11200,+0.07,
BBG,10/3/2011,23:18:20,34.09,36.25,1326035,967080,-5.41,
BBH,10/3/2011,23:18:20,94.36,97.48,10900,14381,-3.06,
BBK,10/3/2011,23:18:20,15.18,15.43,31572,19436,-0.52,
BBL,10/3/2011,23:18:20,51.30,53.43,1986200,2116130,-3.35,
BBN,10/3/2011,23:18:20,20.02,20.25,458414,310425,-0.35,
BBT,10/3/2011,23:18:20,20.56,21.71,6757756,6901720,-3.52,
BBVA,10/3/2011,23:18:20,7.62,7.99,3582139,2939490,-6.15,
BBW,10/3/2011,23:18:20,4.66,5.1571,125198,93291,-8.63,
BBX,10/3/2011,23:18:20,0.54,0.62,234966,211155,-12.59,
BBY,10/3/2011,23:18:20,22.10,23.51,9517358,7525210,-5.06,
BC,10/3/2011,23:18:20,13.355,14.14,2839204,1702260,-3.85,
BCA,10/3/2011,23:18:20,17.70,18.81,38662,26372,-7.77,
BCE,10/3/2011,23:18:20,36.99,37.3645,779780,856111,-1.25,
BCF,10/3/2011,23:18:20,9.80,10.33,326880,226930,-3.85,
BCH,10/3/2011,23:18:20,66.61,69.68,13655,32611,-4.61,
BCO,10/3/2011,23:18:20,21.85,23.79,429915,347409,-6.26,
BCR,10/3/2011,23:18:20,84.44,87.73,916382,974009,-3.29,
BCS,10/3/2011,23:18:20,9.24,9.83,6053848,6449170,-4.91,
BCV,10/3/2011,23:18:20,14.58,15.00,6797,11225,-1.42,
BDC,10/3/2011,23:18:20,23.93,26.27,457801,323228,-7.21,
BDD,10/3/2011,23:18:20,10.45,11.189,8300,17918,+1.61,
BDF,10/3/2011,23:18:20,18.07,18.35,40976,28819,-0.93,
BDG,9/7/2011,23:18:20,N/A,N/A,0,312,0.00,
BDH,10/3/2011,23:18:20,12.43,12.43,200,5988,-3.57,
BDJ,10/3/2011,23:18:20,6.73,6.99,399528,268110,-3.44,
BDL,10/3/2011,23:18:20,7.26,7.39,400,977,+2.07,
BDN,10/3/2011,23:18:20,7.16,7.86,2072756,2345470,-8.52,
BDR,10/3/2011,23:18:20,1.13,1.30,2833,7438,-13.07,
BDT,10/3/2011,23:18:20,8.78,9.10,135175,127491,-3.62,
BDV,10/3/2011,23:18:20,8.35,8.77,236848,205139,-3.11,
BDX,10/3/2011,23:18:20,70.45,73.37,2110187,1644830,-3.38,
BEC,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BEE,10/3/2011,23:18:20,3.93,4.34,2512713,1943980,-8.58,
BEJ,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BEM,6/20/2011,23:18:20,N/A,N/A,0,0,0.00,
BEN,10/3/2011,23:18:20,90.29,94.95,2661239,1481110,-5.50,
BEZ,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BF.A,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BF.B,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BFK,10/3/2011,23:18:20,13.74,13.89,50937,66614,+0.59,
BFO,10/3/2011,23:18:20,14.68,14.89,7632,8833,-0.07,
BFR,10/3/2011,23:18:20,5.11,5.48,240035,139514,-4.55,
BFS,10/3/2011,23:18:20,33.12,34.20,120982,92550,-0.09,
BFY,10/3/2011,23:18:20,14.79,14.91,5398,6566,+0.41,
BFZ,10/3/2011,23:18:20,14.00,14.11,48132,53064,-0.56,
BG,10/3/2011,23:18:20,55.00,57.81,2293087,1061410,-4.77,
BGC,10/3/2011,23:18:20,21.29,23.54,1379041,1379090,-8.52,
BGG,10/3/2011,23:18:20,12.65,13.70,480576,710217,-6.29,
BGH,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BGI,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BGP,2/15/2011,23:18:20,N/A,N/A,0,0,0.00,
BGR,10/3/2011,23:18:20,21.55,22.67,184954,125981,-4.56,
BGS,10/3/2011,23:18:20,16.00,17.15,587889,451708,-4.08,
BGT,10/3/2011,23:18:20,12.19,12.68,119487,90053,-3.31,
BGU,10/3/2011,23:18:20,42.04,47.35,5134895,3465240,-9.14,
BGY,10/3/2011,23:18:20,7.17,7.64,816852,403231,-5.63,
BGZ,10/3/2011,23:18:20,45.46,50.76,6404689,4665950,+9.49,
BH,10/3/2011,23:18:20,286.77,306.90,10204,8173,-3.25,
BHB,10/3/2011,23:18:20,27.72,27.90,5728,3658,-0.89,
BHD,10/3/2011,23:18:20,12.55,12.80,10820,18864,-1.57,
BHE,10/3/2011,23:18:20,12.12,13.15,432695,395564,-6.76,
BHH,10/3/2011,23:18:20,0.93,0.9864,173000,197300,-1.95,
BHI,10/3/2011,23:18:20,44.47,47.15,9550078,6589870,-3.64,
BHK,10/3/2011,23:18:20,12.88,13.03,57406,75848,+0.15,
BHL,10/3/2011,23:18:20,12.03,12.12,20619,31964,-1.71,
BHO,10/3/2011,23:18:20,4.11,4.75,8738,2405,-0.24,
BHP,10/3/2011,23:18:20,64.40,66.96,4202108,4352640,-3.04,
BHS,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
BHV,10/3/2011,23:18:20,18.43,18.43,100,1647,+0.38,
BHY,10/3/2011,23:18:20,6.20,6.33,8350,19564,-0.64,
BID,10/3/2011,23:18:20,25.80,28.41,2204016,1491430,-6.27,
BIE,10/3/2011,23:18:20,14.54,14.67,2914,4706,+0.07,
